Sentiment,Magnitude,DJIA,NASDAQComp,S&P500,SPXL,SPXS,DateTime,FaultyLinks,CommentsAnalyzed
-0.4000000059604645,134.6999969482422,31333.03,13997.32,3906.56,81.02,34.0,2021-02-09 11:30:09.943284,0,226
-0.30000001192092896,156.39999389648438,31357.96,14016.02,3910.94,81.3,33.91,2021-02-09 12:00:11.571178,0,239
-0.30000001192092896,158.8000030517578,31393.28,14026.73,3915.39,81.48,33.78,2021-02-09 12:30:13.649085,0,240
-0.30000001192092896,159.60000610351562,31414.5,14030.96,3916.13,81.56,33.75,2021-02-09 13:00:11.948963,0,260
-0.20000000298023224,153.1999969482422,31395.99,14012.72,3913.19,81.4,33.87,2021-02-09 13:30:10.299088,0,260
-0.30000001192092896,177.8000030517578,31402.54,14006.36,3911.6,81.34,33.83,2021-02-09 14:00:09.941154,0,280
-0.30000001192092896,177.0,31420.46,14021.57,3915.51,81.55,33.76,2021-02-09 14:30:12.865613,0,259
-0.30000001192092896,174.5,31431.07,14025.97,3917.66,81.62,33.72,2021-02-09 15:00:10.861213,0,269
-0.30000001192092896,153.89999389648438,31397.99,14017.45,3915.05,81.44,33.8,2021-02-09 15:30:09.190398,0,273
-0.30000001192092896,170.0,31356.36,14005.14,3909.51,81.24,33.9,2021-02-09 16:00:11.360382,0,280
-0.20000000298023224,165.0,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 16:30:11.162941,0,251
-0.20000000298023224,172.8000030517578,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 17:00:09.779741,0,260
-0.30000001192092896,171.0,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 17:30:15.620331,0,280
-0.20000000298023224,183.0,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 18:00:21.407736,0,300
-0.30000001192092896,164.0,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 18:30:10.751456,0,247
-0.30000001192092896,158.10000610351562,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 19:00:10.311178,0,241
-0.30000001192092896,152.10000610351562,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 19:30:09.216551,0,225
-0.20000000298023224,166.60000610351562,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 20:00:11.668965,0,264
-0.20000000298023224,185.3000030517578,31375.83,14007.7,3911.23,81.25,33.85,2021-02-09 20:30:11.336276,0,266
-0.20000000298023224,152.0,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 04:00:19.670125,0,242
-0.20000000298023224,117.19999694824219,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 04:30:10.299342,0,202
-0.30000001192092896,100.30000305175781,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 05:00:11.636954,0,163
-0.10000000149011612,109.19999694824219,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 05:30:12.234570,0,167
-0.20000000298023224,106.5999984741211,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 06:00:11.235895,0,168
-0.20000000298023224,103.9000015258789,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 06:30:09.298653,0,169
-0.20000000298023224,117.5,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 07:00:09.748486,0,188
-0.20000000298023224,96.30000305175781,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 07:30:13.477579,0,173
-0.20000000298023224,101.69999694824219,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 08:00:11.820198,0,184
-0.10000000149011612,107.69999694824219,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 08:30:14.178156,0,170
-0.20000000298023224,101.69999694824219,31375.83,14007.7,3911.23,81.25,33.85,2021-02-10 09:00:09.595540,0,168
-0.10000000149011612,134.6999969482422,31375.83,14007.7,3911.23,81.25,33.36,2021-02-10 09:30:10.207483,0,211
-0.20000000298023224,143.6999969482422,31456.91,14077.81,3924.64,82.13,33.5,2021-02-10 10:00:11.369121,0,215
-0.20000000298023224,151.39999389648438,31361.12,13966.02,3902.37,80.8,34.08,2021-02-10 10:30:10.028062,0,244
-0.30000001192092896,138.0,31399.05,13912.5,3900.22,80.97,34.0,2021-02-10 11:00:11.934859,0,208
-0.30000001192092896,127.5,31397.16,13961.6,3906.85,80.73,34.1,2021-02-10 11:30:15.103260,0,230
-0.20000000298023224,156.3000030517578,31397.17,13958.39,3908.61,80.81,34.06,2021-02-10 12:00:12.115622,0,249
-0.20000000298023224,194.10000610351562,31362.39,13952.63,3901.74,80.78,34.12,2021-02-10 12:30:13.479408,0,268
-0.20000000298023224,174.3000030517578,31387.56,13975.63,3906.24,80.82,34.05,2021-02-10 13:00:25.079571,0,256
-0.30000001192092896,180.6999969482422,31406.04,13984.84,3908.6,81.07,33.95,2021-02-10 13:30:11.217953,0,266
-0.20000000298023224,152.5,31397.19,13969.11,3905.58,80.98,34.02,2021-02-10 14:00:12.247501,0,252
-0.30000001192092896,177.5,31413.27,13975.24,3910.37,81.33,33.84,2021-02-10 14:30:09.634313,0,252
-0.30000001192092896,148.10000610351562,31464.91,14014.32,3916.07,81.62,33.73,2021-02-10 15:00:10.377061,0,221
-0.20000000298023224,142.60000610351562,31476.91,14002.91,3913.16,81.42,33.81,2021-02-10 15:30:10.931139,0,244
-0.20000000298023224,136.89999389648438,31421.62,13963.6,3906.74,81.16,33.93,2021-02-10 16:00:12.494433,0,245
-0.30000001192092896,131.1999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 16:30:13.623063,0,228
-0.20000000298023224,129.3000030517578,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 17:00:11.833225,0,223
-0.20000000298023224,188.39999389648438,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 17:30:11.649950,0,269
-0.20000000298023224,175.6999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 18:00:16.649711,0,279
